id&name&time&new_or_not
0&SpY&42.0&False
1&SpY&18.2&False
2&SpY&21.7&False
3&SpY&26.4&False
4&SpY&35.7&False
5&nonamed&20.8&False
6&Noname&20.2&False
7&Noname&19.8&False
8&Noname&21.2&False
9&kasma&21.2&False
10&sss]&19.1&True
